# source_sha256=2a9ffd46b0e4ff3c87b3403ecb299a812653df1064246c63d78dd64d6685df80
id	original	korean
I0L7	|cFF9999FF“|r|cFF9393EC奇|r|cFF8C8CD9迹|r|cFF8686C6师|r|cFF8080B2”|r|cFF79799F魔|r|cFF73738C药	|cFF9999FF“기적술사” 마법약
I0L8	|cFF000066“|r|cFF0B0B66诡|r|cFF171766秘|r|cFF222266侍|r|cFF2D2D66者|r|cFF393966”|r|cFF444466魔	|cFF000066“비밀의 시종” 마법약
I0L9	|cFF333333“|r|cFF3A3A3A愚|r|cFF424242者|r|cFF494949”|r|cFF505050魔|r|cFF575757药|r	|cFF333333“바보” 마법약|r
I0LA	|cFFCCCCCC文|r|cFFAAAAAA明|r|cFF888888的|r|cFF666666存|r|cFF444444续|r	|cFFCCCCCC문명의 존속|r
I0LB	|cFF99CCFF星|r|cFF8CB2FF之|r|cFF8099FF杖|r	|cFF99CCFF별의 지팡이|r
I0LC	|cFF999999亵|r|cFF7A85A3渎|r|cFF5C70AD之|r|cFF3D5CB8牌|r|cFF999999「愚者」|r	|cFF999999모독의 카드 「바보」|r
I0LD	待删除	삭제 예정
I0LE	|cFF666699魔|r|cFF707099之|r|cFF7A7A99原|r|cFF858599质|r	|cFF666699악마의 원질|r
I0LF	|cFF9966FF噬界核心|r	|cFF9966FF세계 포식의 핵|r
I0LG	|cFF999999原|r|cFF8A8A8A质|r|cFF7C7C7C『|r|cFF6D6D6D理解|r|cFF5F5F5F之冠|r|cFF505050』|r	|cFF999999세피라 『이해의 왕관』|r
I0LH	|cFF5A90BA原|r|cFF5785AB质|r|cFF547A9B『|r|cFF516F8C慈悲|r|cFF4E647D之泪|r|cFF4B596E』|r	|cFF5A90BA세피라 『자비의 눈물』|r
I0LI	|cFFFF6699原|r|cFFF85783质|r|cFFF0496D『|r|cFFE93A57律行|r|cFFE22C42之履|r|cFFDB1D2C』|r	|cFFFF6699세피라 『율행의 신발』|r
I0LJ	|cFFFEB2B6原|r|cFFFEA0AB质|r|cFFFE8E9F『|r|cFFFE7C94绮曜|r|cFFFF6988之羽|r|cFFFF577D』|r	|cFFFEB2B6세피라 『찬란한 깃털』|r
I0LK	|cFF8CA6E3原|r|cFF91A6DF质|r|cFF97A7DC『|r|cFF9CA7D8赫德|r|cFFA2A7D5之碑|r|cFFA7A7D1』|r	|cFF8CA6E3세피라 『호드의 비석』|r
I0LL	|cFFF9F9F9原|r|cFFE4E4E4质|r|cFFCFCFCF『|r|cFFBABABA源流|r|cFFA5A5A5之花|r|cFF909090』|r	|cFFF9F9F9세피라 『원류의 꽃』|r
I0LM	|cFF9496C6原|r|cFF8284B1质|r|cFF70729C『|r|cFF5E6087创辉|r|cFF4C4E71之光|r|cFF3A3C5C』|r	|cFF9496C6세피라 『창휘의 빛』|r
I0LN	|cFFFBFBFB原|r|cFFE4F5FC质|r|cFFCCEFFC『|r|cFFB5E9FD涅瑟|r|cFF9DE2FD之翼|r|cFF86DCFE』|r	|cFFFBFBFB세피라 『네차흐의 날개』|r
I0LO	|cFF90A6B3原|r|cFF889CAA质|r|cFF8092A2『|r|cFF788899静默|r|cFF6F7D90之冕|r|cFF677387』|r	|cFF90A6B3세피라 『침묵의 관』|r
I0LP	|cFFFFCC00原|r|cFFFFAF00质|r|cFFFF9200『|r|cFFFF7500至上|r|cFFFF5700之冠|r|cFFFF3A00』|r	|cFFFFCC00세피라 『지고의 왕관』|r
I0LQ	|cFF3AC3A8翠|r|cFF2CACA4玉|r|cFF1D94A0录|r	|cFF3AC3A8에메랄드 타블렛|r
I0LR	工作台	작업대
I0LS	|cFF7DBEF1铁镐|r	|cFF7DBEF1철 곡괭이|r
I0LT	|cFF7DBEF1钻石稿|r	|cFF7DBEF1다이아몬드 곡괭이|r
I0LU	制作台	제작대
I0LV	基础钻机	기초 시추기
I0LW	火力发电机	화력 발전기
I0LX	源石发电机	오리지늄 발전기
I0LY	装配台	조립대
I0LZ	进阶钻机	고급 시추기
I0M0	通用武器盒	범용 무기 상자
I0M1	通用枪械盒	범용 총기 상자
I0M2	破旧的先驱挖掘装置	낡은 개척자 채굴 장치
I0M3	装备制造台	장비 제작대
I0M4	住客招募券	입주자 모집권
I0M5	超凡物品兑换券	초월 물품 교환권
I0M6	银之键	은색 열쇠
I0M7	幻梦境之客	몽환의 땅의 손님
I0M8	阿撒托斯之核	아자토스의 핵
I0M9	奈亚拉幻形	니알라토텝의 환영
I0MA	诺登斯请柬	노덴스의 초대장
I0MB	人形制造契约	인형 제조 계약
I0MC	火控元件	사격통제 부품
I0MD	装备制造契约	장비 제조 계약
I0ME	|cFFEB7C87第一次作战计划	|cFFEB7C87첫 작전 계획
I0MF	|cFF1AA2F7作战计划表	|cFF1AA2F7작전 계획표
I0MG	德丽莎茶会券	테레사의 다과회 초대권
I0MH	|cFFCCCCCC撬锁工具|r	|cFFCCCCCC자물쇠 따기 도구|r
I0MI	|cFFFFCCAA黄钥匙|r	|cFFFFCCAA노란 열쇠|r
I0MJ	|cFFCCCCFF蓝钥匙|r	|cFFCCCCFF파란 열쇠|r
I0MK	|cFFFF8888红钥匙|r	|cFFFF8888빨간 열쇠|r
I0ML	|cFF00FF88绿钥匙|r	|cFF00FF88초록 열쇠|r
I0MM	|cFF7B0000碎裂的桌子|r	|cFF7B0000부서진 탁자|r
I0MN	|cFFEE4C38红烧大虾|r	|cFFEE4C38붉게 조린 왕새우|r
I0MO	|cFFEE4C38冷冻龙虾|r	|cFFEE4C38냉동 랍스터|r
I0MP	|cFF737FD8双刃下弦月|r	|cFF737FD8양날의 하현달|r
I0MQ	|cFFCC0000龙之心|r	|cFFCC0000용의 심장|r
I0MR	|cFFCCFFFF动力核心|r	|cFFCCFFFF동력 코어|r
I0MS	|cFF7DBEF1钥匙包|r	|cFF7DBEF1열쇠 꾸러미|r
I0MT	P点	P 포인트
I0MU	|cFF999999召唤铃铛的奖励[普通]|r	|cFF999999소환 방울 보상 [일반]|r
I0MV	|cFF999999召唤铃铛的奖励[稀有]|r	|cFF999999소환 방울 보상 [희귀]|r
I0MW	|cFF999999召唤铃铛的奖励[罕见]|r	|cFF999999소환 방울 보상 [진귀]|r
I0MX	|cFF6699FF选|r|cFF85A3D6定|r|cFFA3ADAD之|r|cFFC2B885仗|r	|cFF6699FF선정의 지팡이|r
I0MY	|cFFF95C24日轮刀[赤炎]|r	|cFFF95C24일륜도 [적염]|r
I0N0	|cFF999999王国的赐福[普通]|r	|cFF999999왕국의 축복 [일반]|r
I0N1	|cFFFF0000神秘对联|r	|cFFFF0000신비한 대련|r
I0N2	磨刀石	숫돌
I0N3	开刃油	칼날 연마유
I0N4	砥石	숫돌
I0N9	|cFF7DBEF1土质弹药(大口径)|r	|cFF7DBEF1흙 탄약(대구경)|r
I0NA	|cFF7DBEF1土质弹药(中口径)|r	|cFF7DBEF1흙 탄약(중구경)|r
I0NB	|cFF7DBEF1土质弹药(小口径)|r	|cFF7DBEF1흙 탄약(소구경)|r
I0NC	|cFF7DBEF1土质弹药(霰弹)|r	|cFF7DBEF1흙 탄약(산탄)|r
I0NI	餐品兑换券	식사 교환권
I0NJ	|cFFFFCC99黄宝箱|r	|cFFFFCC99노란 보물상자|r
I0NK	|cFF6699FF蓝宝箱|r	|cFF6699FF파란 보물상자|r
I0NL	|cFFFF3366红宝箱|r	|cFFFF3366빨간 보물상자|r
I0NM	近战模块Lv1	근접 모듈 Lv1
I0NN	近战模块Lv2	근접 모듈 Lv2
I0NO	近战模块Lv3	근접 모듈 Lv3
I0NP	暴击模块Lv1	치명타 모듈 Lv1
I0NQ	暴击模块Lv2	치명타 모듈 Lv2
I0NR	暴击模块Lv3	치명타 모듈 Lv3
I0NS	连击模块Lv1	연타 모듈 Lv1
I0NT	连击模块Lv2	연타 모듈 Lv2
I0NU	连击模块Lv3	연타 모듈 Lv3
I0NV	瞄准模块Lv1	조준 모듈 Lv1
I0NW	瞄准模块Lv2	조준 모듈 Lv2
I0NX	瞄准模块Lv3	조준 모듈 Lv3
I0NY	射程模块Lv1	사거리 모듈 Lv1
I0NZ	射程模块Lv2	사거리 모듈 Lv2
I0O0	射程模块Lv3	사거리 모듈 Lv3
I0O1	射速模块Lv1	연사 모듈 Lv1
I0O2	射速模块Lv2	연사 모듈 Lv2
I0O3	射速模块Lv3	연사 모듈 Lv3
I0O4	扩容弹匣Lv1	대용량 탄창 Lv1
I0O5	扩容弹匣Lv2	대용량 탄창 Lv2
I0O6	扩容弹匣Lv3	대용량 탄창 Lv3
I0O7	快速装填弹匣Lv1	빠른 장전 탄창 Lv1
I0O8	快速装填弹匣Lv2	빠른 장전 탄창 Lv2
I0O9	快速装填弹匣Lv3	빠른 장전 탄창 Lv3
I0OA	轻弹匣Lv1	경량 탄창 Lv1
I0OB	轻弹匣Lv2	경량 탄창 Lv2
I0OC	轻弹匣Lv3	경량 탄창 Lv3
I0OD	元素弹匣雷Lv1	번개 원소 탄창 Lv1
I0OE	元素弹匣火Lv1	불 원소 탄창 Lv1
I0OF	元素弹匣冰Lv1	얼음 원소 탄창 Lv1
I0OG	元素弹匣暗Lv1	어둠 원소 탄창 Lv1
I0OH	元素弹匣光Lv1	빛 원소 탄창 Lv1
I0OI	元素弹匣水Lv1	물 원소 탄창 Lv1
I0OJ	元素弹匣雷Lv2	번개 원소 탄창 Lv2
I0OK	元素弹匣火Lv2	불 원소 탄창 Lv2
I0OL	元素弹匣冰Lv2	얼음 원소 탄창 Lv2
I0OM	元素弹匣暗Lv2	어둠 원소 탄창 Lv2
I0ON	元素弹匣光Lv2	빛 원소 탄창 Lv2
I0OO	元素弹匣水Lv2	물 원소 탄창 Lv2
I0OP	元素弹匣雷Lv3	번개 원소 탄창 Lv3
I0OQ	元素弹匣火Lv3	불 원소 탄창 Lv3
I0OR	元素弹匣冰Lv3	얼음 원소 탄창 Lv3
I0OS	元素弹匣暗Lv3	어둠 원소 탄창 Lv3
I0OT	元素弹匣光Lv3	빛 원소 탄창 Lv3
I0OU	元素弹匣水Lv3	물 원소 탄창 Lv3
I0OV	高速枪口	고속 총구
I0OW	元素调制枪口雷	번개 원소 조율 총구
I0OX	元素调制枪口火	불 원소 조율 총구
I0OY	元素调制枪口冰	얼음 원소 조율 총구
I0OZ	元素调制枪口暗	어둠 원소 조율 총구
I0P0	元素调制枪口光	빛 원소 조율 총구
I0P1	元素调制枪口水	물 원소 조율 총구
I0P2	强化配件	강화 부품
I0P7	疯狂的齿轮	광기의 톱니바퀴
I0P8	奇遇	기연
I0P9	异热同心核心	제알 코어
I0PA	|cFF99CCFF「|r|cFF8FB8EB魔|r|cFF85A3D6镜|r|cFF7A8FC2」|r|cFF9999CC阿罗|r|cFF8F8FC2德斯	|cFF99CCFF「마경」 아로더스
I0PB	|cFF666666「|r|cFF70525C丧|r|cFF7A3D52钟|r|cFF852947」|r	|cFF666666「죽음의 종」|r
I0PE	|cFFFFFF66妖|r|cFFEEAA44刀|r|cFFDD5522梦渡|r	|cFFFFFF66요도 몽도|r
I0PF	|cFF66CC66蔷|r|cFF84B370薇|r|cFFA29A7A之|r|cFFC08083刃|r	|cFF66CC66장미의 칼날|r
I0PG	卡牌奖励(储君)	카드 보상(왕세자)
I0PH	|cFFF68305稀有卡牌奖励(储君)	|cFFF68305희귀 카드 보상(왕세자)
I0PI	|cFF6699FF君王之剑|r	|cFF6699FF군왕의 검|r
I0PJ	|cFF9A9A9A诡|r|cFF7E7D85异|r|cFF626070柴|r|cFF45445A刀|r	|cFF9A9A9A기괴한 장작칼|r
I0PK	|cFFD8A075晋升之环|r	|cFFD8A075승급의 고리|r
I0PL	|cFFFFCC00终末之环|r	|cFFFFCC00종말의 고리|r
I0PM	|cFFFFFFFF无名众神的王女|r	|cFFFFFFFF이름 없는 신들의 왕녀|r
I0PN	|cffc91628拟态|r	|cffc91628미미크리|r
I0PO	|cFFEFFCCF哈密瓜雪糕(上)|r	|cFFEFFCCF멜론 아이스크림(상)|r
I0PP	|cFFEFFCCF哈密瓜雪糕(下)|r	|cFFEFFCCF멜론 아이스크림(하)|r
I0PQ	|cFFEFFCCF哈密瓜雪糕|r	|cFFEFFCCF멜론 아이스크림|r
I0PS	海盗金币	해적 금화
I0PT	|cFF66CCFF真|r|cFF7FD6FF女|r|cFF99E0FF神|r|cFFB3EAFF天|r|cFFCCF4FF子|r|cFFE5FAFFの|r|cFFFFFFFF祝|r|cFFFFFFFF福|r	|cFF66CCFF진여신 텐시의 축복|r
I0PU	|cFF990000沾|r|cFF8C0606染|r|cFF800D0D罪|r|cFF731313业|r|cFF661A1A的|r|cFF592020御|r|cFF4C2626币|r	|cFF990000죄업에 물든 고헤이|r
I0Q0	|cFF99CCFF强化药剂|r	|cFF99CCFF강화 약제|r
I0Q1	|cFF990000棺|r|cFFA62626材|r|cFFB24C4C钉|r	|cFF990000관못|r
I0Q2	|cFF990000人|r|cFFA62626皮|r|cFFB24C4C纸|r	|cFF990000인피지|r
I0Q3	|cFF939393骗人鬼|r	|cFF939393거짓말 귀신|r
I0Q4	|cFF939393鬼童|r	|cFF939393귀동|r
I0Q5	|cFF333333神|r|cFF5C5C5C之|r|cFF858585花|r|cFFADADAD瓣(来自碎片)|r	|cFF333333신의 꽃잎(조각으로 획득)|r
I0Q6	|cFF666699魔|r|cFF707099之|r|cFF7A7A99原|r|cFF858599质|r|cFFFFFFFF(来自碎片)|r	|cFF666699마의 원질(조각으로 획득)|r
I0Z0	|cFF252A3A史|r|cFF454B69莱|r|cFF656C98姆剑|r	|cFF252A3A슬라임 검|r
I0Z1	|cFF4935A8暗|r|cFF7139C2影|r|cFFA33CDA之|r|cFFD547E8力|r	|cFF4935A8그림자의 힘|r
I0Z2	|cFF990000佣兵信标|r	|cFF990000용병 신호기|r
I0Z3	|cFFF588FF小小奇迹|r	|cFFF588FF작은 기적|r
